school_name,Student ID,student_name,gender,grade,reading_score,math_score,School ID,type,size,budget,reading_pass_flag,math_pass_flag,pass_overall_flag,Spending,Spending Category
Huang High School,0,Paul Bradley,M,9th,66,79,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,1,Victor Smith,M,12th,94,61,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,2,Kevin Rodriguez,M,12th,90,60,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,3,Dr. Richard Scott,M,12th,67,58,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,4,Bonnie Ray,F,9th,97,84,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,5,Bryan Miranda,M,9th,94,94,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,6,Sheena Carter,F,11th,82,80,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,7,Nicole Baker,F,12th,96,69,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,8,Michael Roth,M,10th,95,87,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,9,Matthew Greene,M,10th,96,84,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,10,Andrew Alexander,M,10th,90,70,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,11,Daniel Cooper,M,10th,78,77,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,12,Brittney Walker,F,9th,64,79,0,District,2917,1910635,0,1,0,655.0,$645-675
Huang High School,13,William Long,M,9th,71,79,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,14,Tammy Hebert,F,10th,85,67,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,15,Dr. Jordan Carson,M,11th,94,88,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,16,Donald Zamora,M,9th,88,55,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,17,Kimberly Santiago,F,9th,74,75,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,18,Kevin Stevens,M,9th,64,69,0,District,2917,1910635,0,0,0,655.0,$645-675
Huang High School,19,Brandi Lyons,F,9th,89,80,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,20,Lisa Davis,F,10th,91,89,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,21,Kristen Lopez,F,10th,90,77,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,22,Kimberly Stewart,F,11th,99,84,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,23,Christopher Parker,M,9th,81,68,0,District,2917,1910635,1,0,0,655.0,$645-675
Huang High School,24,Chelsea Griffith,F,11th,85,73,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,25,Cesar Morris,M,9th,92,70,0,District,2917,1910635,1,1,1,655.0,$645-675
Huang High School,26,Melanie Decker,F,9th,63,85,0,District,2917,1910635,0,1,0,655.0,$645-675
