,Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget,reading_pass_flag,math_pass_flag,pass_overall_flag
0,0,Paul Bradley,M,9th,Huang High School,66,79,0,District,2917,1910635,0,1,0
1,1,Victor Smith,M,12th,Huang High School,94,61,0,District,2917,1910635,1,0,0
2,2,Kevin Rodriguez,M,12th,Huang High School,90,60,0,District,2917,1910635,1,0,0
3,3,Dr. Richard Scott,M,12th,Huang High School,67,58,0,District,2917,1910635,0,0,0
4,4,Bonnie Ray,F,9th,Huang High School,97,84,0,District,2917,1910635,1,1,1
5,5,Bryan Miranda,M,9th,Huang High School,94,94,0,District,2917,1910635,1,1,1
6,6,Sheena Carter,F,11th,Huang High School,82,80,0,District,2917,1910635,1,1,1
7,7,Nicole Baker,F,12th,Huang High School,96,69,0,District,2917,1910635,1,0,0
8,8,Michael Roth,M,10th,Huang High School,95,87,0,District,2917,1910635,1,1,1
9,9,Matthew Greene,M,10th,Huang High School,96,84,0,District,2917,1910635,1,1,1
10,10,Andrew Alexander,M,10th,Huang High School,90,70,0,District,2917,1910635,1,1,1
11,11,Daniel Cooper,M,10th,Huang High School,78,77,0,District,2917,1910635,1,1,1
12,12,Brittney Walker,F,9th,Huang High School,64,79,0,District,2917,1910635,0,1,0
13,13,William Long,M,9th,Huang High School,71,79,0,District,2917,1910635,1,1,1
14,14,Tammy Hebert,F,10th,Huang High School,85,67,0,District,2917,1910635,1,0,0
15,15,Dr. Jordan Carson,M,11th,Huang High School,94,88,0,District,2917,1910635,1,1,1
16,16,Donald Zamora,M,9th,Huang High School,88,55,0,District,2917,1910635,1,0,0
17,17,Kimberly Santiago,F,9th,Huang High School,74,75,0,District,2917,1910635,1,1,1
18,18,Kevin Stevens,M,9th,Huang High School,64,69,0,District,2917,1910635,0,0,0
19,19,Brandi Lyons,F,9th,Huang High School,89,80,0,District,2917,1910635,1,1,1
20,20,Lisa Davis,F,10th,Huang High School,91,89,0,District,2917,1910635,1,1,1
21,21,Kristen Lopez,F,10th,Huang High School,90,77,0,District,2917,1910635,1,1,1
22,22,Kimberly Stewart,F,11th,Huang High School,99,84,0,District,2917,1910635,1,1,1
23,23,Christopher Parker,M,9th,Huang High School,81,68,0,District,2917,1910635,1,0,0
24,24,Chelsea Griffith,F,11th,Huang High School,85,73,0,District,2917,1910635,1,1,1
25,25,Cesar Morris,M,9th,Huang High School,92,70,0,District,2917,1910635,1,1,1
26,26,Melanie Decker,F,9th,Huang High School,63,85,0,District,2917,1910635,0,1,0
27,27,Tracey Oconnor,F,10th,Huang High School,80,58,0,District,2917,1910635,1,0,0
28,28,Kelly James,F,11th,Huang High School,73,55,0,District,2917,1910635,1,0,0
29,29,Nicole Brown,F,12th,Huang High School,90,88,0,District,2917,1910635,1,1,1
30,30,Bobby Harris,M,9th,Huang High School,94,99,0,District,2917,1910635,1,1,1
31,31,Brian Fernandez,M,10th,Huang High School,97,65,0,District,2917,1910635,1,0,0
32,32,Candace Phelps,F,11th,Huang High School,93,90,0,District,2917,1910635,1,1,1
33,33,Amy Gonzalez,F,12th,Huang High School,95,68,0,District,2917,1910635,1,0,0
34,34,Steven Green,M,11th,Huang High School,65,74,0,District,2917,1910635,0,1,0
35,35,Benjamin Carlson,M,10th,Huang High School,99,61,0,District,2917,1910635,1,0,0
36,36,Kevin Bailey,M,10th,Huang High School,76,76,0,District,2917,1910635,1,1,1
37,37,Jesse Newton,M,10th,Huang High School,63,66,0,District,2917,1910635,0,0,0
38,38,Kimberly Mercado,F,12th,Huang High School,73,77,0,District,2917,1910635,1,1,1
39,39,Gregory Roberts,M,9th,Huang High School,80,61,0,District,2917,1910635,1,0,0
40,40,Matthew Mayer,M,9th,Huang High School,79,69,0,District,2917,1910635,1,0,0
41,41,Jennifer Parks,F,11th,Huang High School,85,95,0,District,2917,1910635,1,1,1
42,42,John Carlson,M,9th,Huang High School,65,89,0,District,2917,1910635,0,1,0
43,43,Megan Roberts,F,9th,Huang High School,66,90,0,District,2917,1910635,0,1,0
44,44,Debra Flores,F,10th,Huang High School,75,66,0,District,2917,1910635,1,0,0
45,45,Heidi Jackson,F,11th,Huang High School,64,93,0,District,2917,1910635,0,1,0
46,46,Denise Bradford,F,12th,Huang High School,73,59,0,District,2917,1910635,1,0,0
47,47,Ellen Brown,F,11th,Huang High School,77,81,0,District,2917,1910635,1,1,1
48,48,Amy Perkins,F,9th,Huang High School,76,66,0,District,2917,1910635,1,0,0
49,49,Natalie Mitchell,F,10th,Huang High School,73,93,0,District,2917,1910635,1,1,1
50,50,Tiffany Gutierrez,F,10th,Huang High School,82,95,0,District,2917,1910635,1,1,1
51,51,Jennifer Hess,F,11th,Huang High School,91,56,0,District,2917,1910635,1,0,0
52,52,Christine Fletcher,F,12th,Huang High School,69,78,0,District,2917,1910635,0,1,0
53,53,Jon Smith,M,9th,Huang High School,96,69,0,District,2917,1910635,1,0,0
54,54,Tracey Yates,F,9th,Huang High School,83,68,0,District,2917,1910635,1,0,0
55,55,Jerry Gordon,M,12th,Huang High School,95,71,0,District,2917,1910635,1,1,1
56,56,Michael Cox,M,11th,Huang High School,72,72,0,District,2917,1910635,1,1,1
57,57,Madeline Snyder MD,F,9th,Huang High School,97,56,0,District,2917,1910635,1,0,0
58,58,Allison King,F,11th,Huang High School,74,84,0,District,2917,1910635,1,1,1
59,59,Theresa Meyer,F,9th,Huang High School,88,70,0,District,2917,1910635,1,1,1
60,60,Jared Wood,M,9th,Huang High School,63,89,0,District,2917,1910635,0,1,0
61,61,Eric Maynard,M,9th,Huang High School,64,95,0,District,2917,1910635,0,1,0
62,62,Mark Owens,M,11th,Huang High School,74,65,0,District,2917,1910635,1,0,0
63,63,Ronnie Conley,M,11th,Huang High School,77,61,0,District,2917,1910635,1,0,0
64,64,Kimberly Davis,F,12th,Huang High School,87,57,0,District,2917,1910635,1,0,0
65,65,Amy Mitchell,F,11th,Huang High School,74,60,0,District,2917,1910635,1,0,0
66,66,Mr. Dylan Taylor MD,M,10th,Huang High School,77,93,0,District,2917,1910635,1,1,1
67,67,Elizabeth Henderson,F,12th,Huang High School,70,60,0,District,2917,1910635,1,0,0
68,68,James Lopez,M,12th,Huang High School,65,82,0,District,2917,1910635,0,1,0
69,69,Michael Morgan,M,11th,Huang High School,75,89,0,District,2917,1910635,1,1,1
70,70,Angela Francis,F,12th,Huang High School,70,60,0,District,2917,1910635,1,0,0
